City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,acarau,-2.89,-40.12,80.35,77,100,5.73,BR,1580240049
88,hambantota,6.12,81.12,71.6,100,40,2.24,LK,1580240049
89,yerbogachen,61.28,108.01,7.95,92,100,5.26,RU,1580240049
90,kyshtovka,56.55,76.63,-9.69,96,0,8.3,RU,1580240049
91,bathsheba,13.22,-59.52,82.4,69,40,13.87,BB,1580240049
92,saskylakh,71.92,114.08,-14.58,95,100,8.61,RU,1580240049
93,yasenskaya,46.36,38.27,43.36,74,100,7.94,RU,1580240049
94,hermanus,-34.42,19.23,64.99,94,99,5.01,ZA,1580240050
95,port elizabeth,-33.92,25.57,64.4,88,7,14.99,ZA,1580239804
96,saint george,37.1,-113.58,51.8,45,1,1.86,US,1580239945
97,victoria,22.29,114.16,55.4,46,20,13.87,HK,1580239922
98,mar del plata,-38.0,-57.56,91.0,28,100,26.4,AR,1580240050
99,ryazanovskiy,55.55,39.43,25.39,95,93,6.11,RU,1580240050
100,jamestown,42.1,-79.24,34.0,86,90,9.17,US,1580240050
101,isangel,-19.55,169.27,73.4,94,75,12.97,VU,1580240043
102,bandundu,-3.32,17.37,77.81,67,93,3.65,CD,1580240050
103,ambilobe,-13.2,49.05,76.41,90,100,3.2,MG,1580240050
104,mahebourg,-20.41,57.7,75.2,78,20,3.36,MU,1580240045
105,den helder,52.96,4.76,44.6,70,99,28.86,NL,1580240051
106,severo-kurilsk,50.68,156.12,20.84,91,74,5.7,RU,1580240051
107,talcahuano,-36.72,-73.12,75.2,50,99,21.92,CL,1580240051
108,timizart,36.8,4.27,59.72,65,33,11.54,DZ,1580240051
109,camacha,33.08,-16.33,62.6,63,40,6.93,PT,1580240051
110,arraial do cabo,-22.97,-42.03,89.6,74,20,9.17,BR,1580239970
111,tuktoyaktuk,69.45,-133.04,-23.8,74,75,8.05,CA,1580240052
112,tual,-5.67,132.75,84.42,78,65,17.56,ID,1580240052
113,atuona,-9.8,-139.03,80.26,81,4,14.27,PF,1580240052
114,avarua,-21.21,-159.78,80.6,88,0,5.82,CK,1580240044
115,nanortalik,60.14,-45.24,22.24,71,67,13.78,GL,1580240052
116,nuuk,64.18,-51.72,10.4,66,75,14.99,GL,1580239925
117,gat,31.61,34.76,57.2,76,40,4.7,IL,1580240052
118,kunashak,55.7,61.55,-0.4,70,0,6.71,RU,1580240052
119,moa,20.66,-74.94,74.35,73,78,2.71,CU,1580240052
120,codrington,-38.27,141.97,60.35,84,0,8.41,AU,1580240052
121,dunedin,-45.87,170.5,66.0,69,72,2.89,NZ,1580239864
122,baturite,-4.33,-38.88,77.7,83,7,4.61,BR,1580240053
123,madhupur,24.25,86.65,65.05,42,58,3.29,IN,1580240053
124,muncar,-8.43,114.33,81.82,81,74,3.2,ID,1580240053
125,cayenne,4.93,-52.33,86.0,70,75,13.87,GF,1580240053
